iter	Passed	Remaining
1444	8761	3365
1445	8767	3359
1446	8773	3352
1447	8778	3346
1448	8784	3340
1449	8790	3334
1450	8796	3328
1451	8801	3321
1452	8807	3315
1453	8813	3309
1454	8818	3303
1455	8823	3296
1456	8829	3290
1457	8835	3284
1458	8840	3278
1459	8846	3271
1460	8851	3265
1461	8856	3259
1462	8862	3253
1463	8868	3246
1464	8873	3240
1465	8880	3234
1466	8886	3228
1467	8891	3222
1468	8897	3216
1469	8903	3210
1470	8909	3203
1471	8915	3197
1472	8920	3191
1473	8926	3185
1474	8932	3179
1475	8938	3173
1476	8943	3166
1477	8948	3160
1478	8953	3154
1479	8959	3147
1480	8964	3141
1481	8970	3135
1482	8994	3135
1483	9000	3129
1484	9006	3123
1485	9014	3117
1486	9022	3112
1487	9029	3106
1488	9036	3101
1489	9043	3095
1490	9049	3089
1491	9056	3083
1492	9063	3077
1493	9070	3072
1494	9076	3066
1495	9083	3060
1496	9090	3054
1497	9097	3048
1498	9105	3043
1499	9111	3037
1500	9117	3031
1501	9125	3025
1502	9131	3019
1503	9138	3013
1504	9144	3007
1505	9151	3002
1506	9158	2996
1507	9165	2990
1508	9172	2984
1509	9180	2979
1510	9187	2973
1511	9194	2967
1512	9200	2961
1513	9207	2955
1514	9217	2950
1515	9233	2947
1516	9249	2944
1517	9257	2939
1518	9265	2934
1519	9274	2928
1520	9283	2923
1521	9291	2918
1522	9298	2912
1523	9306	2906
1524	9313	2900
1525	9320	2895
1526	9327	2889
1527	9334	2883
1528	9342	2877
1529	9349	2872
1530	9358	2866
1531	9364	2860
1532	9370	2854
1533	9377	2848
1534	9382	2842
1535	9388	2836
1536	9393	2829
1537	9399	2823
1538	9404	2817
1539	9410	2810
1540	9416	2804
1541	9421	2798
1542	9426	2791
1543	9432	2785
1544	9437	2779
1545	9443	2773
1546	9449	2766
1547	9454	2760
1548	9460	2754
1549	9466	2748
1550	9472	2742
1551	9478	2736
1552	9484	2729
1553	9490	2723
1554	9495	2717
1555	9501	2711
1556	9506	2704
1557	9511	2698
1558	9517	2692
1559	9522	2685
1560	9528	2679
1561	9533	2673
1562	9539	2667
1563	9544	2660
1564	9550	2654
1565	9556	2648
1566	9561	2642
1567	9568	2636
1568	9574	2630
1569	9580	2624
1570	9586	2617
1571	9593	2611
1572	9599	2605
1573	9606	2599
1574	9612	2593
1575	9618	2587
1576	9625	2581
1577	9632	2575
1578	9638	2569
1579	9646	2564
1580	9652	2558
1581	9659	2552
1582	9666	2546
1583	9673	2540
1584	9680	2534
1585	9686	2528
1586	9691	2522
1587	9697	2516
1588	9703	2509
1589	9709	2503
1590	9715	2497
1591	9721	2491
1592	9727	2485
1593	9732	2479
1594	9738	2472
1595	9745	2466
1596	9751	2460
1597	9756	2454
1598	9762	2448
1599	9768	2442
1600	9773	2435
1601	9779	2429
1602	9785	2423
1603	9790	2417
1604	9796	2411
1605	9802	2404
1606	9808	2398
1607	9815	2392
1608	9820	2386
1609	9827	2380
1610	9833	2374
1611	9839	2368
1612	9845	2362
1613	9851	2356
1614	9857	2349
1615	9863	2343
1616	9870	2337
1617	9876	2331
1618	9882	2325
1619	9888	2319
1620	9894	2313
1621	9899	2307
1622	9906	2301
1623	9912	2294
1624	9918	2288
1625	9924	2282
1626	9930	2276
1627	9936	2270
1628	9942	2264
1629	9948	2258
1630	9955	2252
1631	9961	2246
1632	9968	2240
1633	9974	2234
1634	9981	2228
1635	9992	2223
1636	10014	2220
1637	10021	2214
1638	10028	2208
1639	10037	2203
1640	10044	2197
1641	10050	2191
1642	10057	2185
1643	10064	2179
1644	10071	2173
1645	10077	2167
1646	10083	2161
1647	10089	2155
1648	10095	2148
1649	10101	2142
1650	10107	2136
1651	10113	2130
1652	10120	2124
1653	10126	2118
1654	10133	2112
1655	10139	2106
1656	10145	2100
1657	10152	2094
1658	10158	2087
1659	10164	2081
1660	10171	2075
1661	10177	2069
1662	10183	2063
1663	10188	2057
1664	10194	2051
1665	10200	2044
1666	10205	2038
1667	10211	2032
1668	10217	2026
1669	10223	2020
1670	10229	2014
1671	10234	2007
1672	10240	2001
1673	10246	1995
1674	10252	1989
